"Section","Unit","Designation","Phone","Email"
"State Police Headquarters","Headquarters","Director General & Inspector General of Police, Head of Police Force (HoPF), Karnataka State","080-22211803, 080-22942999, 080-22942882, 080-22212164 / 9480800001, 9448466133","police@ksp.gov.in"
"State Police Headquarters","Headquarters","ADGP, Admin","080-22942101, 080-22210662 / 9480800002","adgpadmin@ksp.gov.in"
"State Police Headquarters","Headquarters","ADGP, L&O","080-22942103, 22240496, 22211834 / 9480800005","adgplo@ksp.gov.in"
"State Police Headquarters","Headquarters","ADGP ANTF","—",""
"State Police Headquarters","Headquarters","ADGP, C&TS","080-22942102, 22212227, 22943294, RES-29533404 / 9480800007","adgpcts@ksp.gov.in"
"State Police Headquarters","Headquarters","ADGP, Grievances & Human Rights","22213431, 22942105 / 9480800026","adgpgc@ksp.gov.in"
"State Police Headquarters","Headquarters","IGP, HQ -1","080-22245077, 22942282 / 9480800024","igphq@ksp.gov.in"
"State Police Headquarters","Headquarters","ADGP, KSRP","22213351, 22942104 / 9480800009","adgpksrp@ksp.gov.in"
"State Police Headquarters","Headquarters","IGP, KSRP","22211424, 22942247 / 9480800025","igpksrp@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP, Admin","080-22942107, 22212693 / 9480800021","igpadmin@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP, General","22215641, 22942360 / 9480800072","digpgnl@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP ANTF","080-22942592 / —",""
"State Police Headquarters","Headquarters","DIGP, Crime","080-22211845, 22942349 / 9480800071","digpcrime@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP HQRS","22943430, 22279002 / 9480800053","digphqco@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP, CTRS","080-22942106, 22238000 / 9480800022","digpctrs@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP, Railways","22102659, 22942279–F / 9480800455","igprly@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP, KSRP HQ","22215259, 22942290 / 9480800052","digpksrp@ksp.gov.in"
"State Police Headquarters","Headquarters","DIGP KSRP BENGALURU ZONE","22943680, 22943142 / 9480800845",""
"State Police Headquarters","Headquarters","SP (W), DGP Control Room","080-22942334, 22215911, RES-22942626 / 9480800908","crdgcontrol@ksp.gov.in, wrdgcontrol@ksp.gov.in"
"State Police Headquarters","Headquarters","SP PRO, CHIEF OFFICE","080-22210391, 22942364, RES-22943528 / 9480800074","murthyaproco@gmail.com"
"State Police Headquarters","Headquarters","APRO","080-22943045 / 9480800728",""
"State Police Headquarters","Headquarters","CAO","22212108, 22942409 / 9480800033","caoco@ksp.gov.in"
"State Police Headquarters","Headquarters","DSP, Law","22942615 / 9480800092, 9886243473, 7892387276",""
"State Police Headquarters","Headquarters","PI LAW","22942615 / 7899759737",""
"State Police Headquarters","Headquarters","DSP, Crime","22942121 / 9480800091","dspcrime2001@gmail.com"
"State Police Headquarters","Headquarters","Assistant Commandant, KSISF","22943127 / 9480800778","acksisfdgoffice@ksp.gov.in"
"State Police Headquarters","Headquarters","DSP, MTO, Chief Office","22942814 / 9480800495",""
"State Police Headquarters","Headquarters","DSP, PRC-I","22942384, 22943598 / 9480800095, 9742122990",""
"State Police Headquarters","Headquarters","PI, PRC","— / 9731232721, 9480800094",""
"State Police Headquarters","Headquarters","PI, PRC","— / 9480336556",""
"State Police Headquarters","Headquarters","Legal Advisor","22109419, 22094606-CID / 9480800162-CID, 9449243110",""
"State Police Headquarters","Headquarters","JCF (Joint Controller Finance)","22212561, 22942414 / 9480800566","jcfco@ksp.gov.in"
"State Police Headquarters","Headquarters","DCF (Deputy Controller Finance)","22942413 / 9448621989",""
"State Police Headquarters","Headquarters","DSP (W), DGP Control Room","22943432 / 9364881600","crdgcontrol@ksp.gov.in, wrdgcontrol@ksp.gov.in"
"State Police Headquarters","Headquarters","PI (W) DGP Control Room","22942337 / 9480800924",""
"State Police Headquarters","Headquarters","PI (W) DGP Control Room","22943463 / 9865151535",""
"State Police Headquarters","Headquarters","DGP CONTROL ROOM","22211777, 22942111, 22942777, 22943404 / 9480800100, 7483645561 (WhatsApp)","crdgcontrol@ksp.gov.in"
"State Police Headquarters","Headquarters","DGP CONTROL ROOM FAX NUMBERS","22215911, 22943413, 22943418 / —",""
"State Police Headquarters","Headquarters","TOLL FREE HELP LINE","18004250100, 22942336, 22943292, 22943293 / —",""
"State Police Headquarters","Headquarters","PA TO ADGP ADMN","22942101 / 9845720494",""
"State Police Headquarters","Headquarters","PA TO ADGP ADMN","22942101 / 9845571243",""
"State Police Headquarters","Headquarters","PA TO ADGP ADMIN","22942101 / 8861782699",""
"State Police Headquarters","Headquarters","PA TO ADGP L&O","22942103 / 9980092652",""
"State Police Headquarters","Headquarters","PA TO ADGP L&O","22942103 / —",""
"State Police Headquarters","Headquarters","PA TO ADGP KSRP","22942104 / —",""
"State Police Headquarters","Headquarters","PA TO ADGP Cr & TS","22942102 / 9901417661",""
"State Police Headquarters","Headquarters","PATO ADGP GHR","22942105 / 9844622316",""
"State Police Headquarters","Headquarters","PA TO IGP KSRP","22942247, 22211424 / 9886596473",""
"State Police Headquarters","Headquarters","PA TO IGP HQRS-1","22245077, 22942282 / 9449906124",""
"State Police Headquarters","Headquarters","PA TO DIGP ADMN","22942107, 22212693 / 9886787774",""
"State Police Headquarters","Headquarters","PA TO DIGP CTRS","22942106 / 9739576698",""
"State Police Headquarters","Headquarters","PA TO DIGP KSRP","22215259 / 9844231596",""
"State Police Headquarters","Headquarters","PA TO DIGP CRIME","22211845, 22942349 / 9844345704",""
"State Police Headquarters","Headquarters","PA TO DIGP GENERAL","22215641, 22942360 / 8710004369",""
"State Police Headquarters","Headquarters","PA TO DIGP HQ","22279002, 22943430 / 9901882762",""
"State Police Headquarters","Headquarters","AAO HRM-I","22942837 / 9448703385",""
"State Police Headquarters","Headquarters","AAO HRM-II","22942826 / 9632963754",""
"State Police Headquarters","Headquarters","AAO L&O","22942840 / 9980680758",""
"State Police Headquarters","Headquarters","AAO GC, BUILDING, ABY SECTION","22942833 / 9886506419",""
"State Police Headquarters","Headquarters","AAO Cr & TS","22943390 / 9036185986",""
"State Police Headquarters","Headquarters","AAO KSRP","22112136 / 8971621903",""
"State Police Headquarters","Control Rooms in Bengaluru","DGP CONTROL ROOM","22211777 / 22942111 / 22942777 / 22215911 / 9480800100 / Toll Free: 18004250100","crdgcontrol@ksp.gov.in, wrdgcontrol@ksp.gov.in"
"State Police Headquarters","Control Rooms in Bengaluru","CID CIVIL CONTROL ROOM","22942444 / 22094498 / 9480800123","spnoccid@ksp.gov.in"
"State Police Headquarters","Control Rooms in Bengaluru","CID WIRELESS CONTROL ROOM","22942434 / 22094500 / —","crcod@ksp.gov.in"
"State Police Headquarters","Control Rooms in Bengaluru","ISD CONTROL ROOM","25596006 / 22943801 / 9480800600",""
"State Police Headquarters","Control Rooms in Bengaluru","BENGALURU CITY CONTROL ROOM","22942222 / 22250999 / 22943400 / 8277945406 / 9480801556",""
"State Police Headquarters","Control Rooms in Bengaluru","108 CONTROL ROOM (Ambulance)","23280161 (108) / —",""
"State Police Headquarters","Control Rooms in Bengaluru","CENTRAL CONTROL ROOM","22943003 / 9480801100",""
"State Police Headquarters","Control Rooms in Bengaluru","EAST CONTROL ROOM","22943535 / 9480801200",""
"State Police Headquarters","Control Rooms in Bengaluru","SOUTH EAST CONTROL ROOM","22943482 / 9480801600",""
