agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP0001,CP,CP, Bengaluru City,Bengaluru City,Bengaluru City,,080-22260222,9480801001,compolbcp@ksp.gov.in,cp bengaluru city 080-22260222 9480801001 compolbcp@ksp.gov.in
KSP0002,"DG & IGP, Karnataka State",DG & IGP,"Head of Police Force (HoPF), Karnataka State",HQ,Bengaluru City,,,080-22211803,police@ksp.gov.in,"dg & igp, karnataka state dg & igp head of police force (hopf), karnataka state hq bengaluru city 080-22211803 police@ksp.gov.in"
KSP0003,ADGP Admin,ADGP,Admin,HQ,Bengaluru City,,080-22942114,9480800003,adgpadmin@ksp.gov.in,adgp admin adgp admin hq bengaluru city 080-22942114 9480800003 adgpadmin@ksp.gov.in
KSP0004,ADGP L&O,ADGP,L&O,HQ,Bengaluru City,,080-22240496,080-22942103,adgplo@ksp.gov.in,adgp l&o adgp l&o hq bengaluru city 080-22240496 080-22942103 adgplo@ksp.gov.in
KSP0005,ADGP ANTF,ADGP,ANTF,HQ,Bengaluru City,,,,,adgp antf adgp antf hq bengaluru city
KSP0006,ADGP C&TS,ADGP,C&TS,HQ,Bengaluru City,,080-22212227,080-22942102,adgpcts@ksp.gov.in,adgp c&ts adgp c&ts hq bengaluru city 080-22212227 080-22942102 adgpcts@ksp.gov.in
KSP0007,ADGP Grievances & Human Rights,ADGP,Grievances & Human Rights,HQ,Bengaluru City,,080-22213431,9480800026,adgpgc@ksp.gov.in,adgp grievances & human rights adgp grievances & human rights hq bengaluru city 080-22213431 9480800026 adgpgc@ksp.gov.in
KSP0008,IGP HQ -1,IGP,HQ -1,HQ,Bengaluru City,,080-22942106,9480800005,igphq@ksp.gov.in,igp hq -1 igp hq -1 hq bengaluru city 080-22942106 9480800005 igphq@ksp.gov.in
KSP0009,ADGP KSRP,ADGP,KSRP,KSRP,Bengaluru City,,080-22213351,9480800009,adgpksrp@ksp.gov.in,adgp ksrp adgp ksrp bengaluru city 080-22213351 9480800009 adgpksrp@ksp.gov.in
KSP0010,IGP KSRP,IGP,KSRP,KSRP,Bengaluru City,,080-22211424,9480800025,igpksrp@ksp.gov.in,igp ksrp igp ksrp bengaluru city 080-22211424 9480800025 igpksrp@ksp.gov.in
KSP0011,DIGP Admin,DIGP,Admin,HQ,Bengaluru City,,080-22942105,9480800006,digphq@ksp.gov.in,digp admin digp admin hq bengaluru city 080-22942105 9480800006 digphq@ksp.gov.in
