AGID,Name,Rank,Email,Mobile,Landline,District,Office,Unit
AGID1353,ACP (W) Hubballi City,ACP,,9480802016,0836-2233421,Hubballi–Dharwad City,ACP (W) Hubballi City,L&O
AGID1354,ACP Banaswadi,ACP,acpkrpura@ksp.gov.in,9480801207,22942147,Bengaluru City,ACP Banaswadi,L&O
AGID1355,ACP Byatarayanapura,ACP,acpbypurabcp@ksp.gov.in,9480801706,22942151,Bengaluru City,ACP Byatarayanapura,L&O
AGID0084,ACP CAR,ACP,carkbc@ksp.gov.in,,258112,Kalaburagi City,ACP CAR,CAR
AGID0085,ACP CAR,ACP,,9480802316,2220813,Mangaluru City,ACP CAR,CAR
AGID0086,ACP CAR HQ,ACP,acp1carhqbcp@ksp.gov.in,9480801039,,Bengaluru City,CAR HQ,CAR
AGID0087,ACP CAR HQ,ACP,,9480801038,,Bengaluru City,CAR HQ,CAR
AGID0090,ACP CAR HQ,ACP,,9480801041,,Bengaluru City,CAR HQ,CAR
AGID0088,ACP CAR HQ,ACP,,9480801040,,Bengaluru City,CAR HQ,CAR
AGID0089,ACP CAR HQ,ACP,,9480801037,,Bengaluru City,CAR HQ,CAR
AGID0091,ACP CAR North,ACP,,9480801047,,Bengaluru City,CAR North,CAR
AGID0092,ACP CAR North,ACP,,9480801048,,Bengaluru City,CAR North,CAR
AGID0093,ACP CAR South-I,ACP,,9480801054,,Bengaluru City,CAR South-I,CAR
AGID0094,ACP CAR South-II,ACP,,9480801055,,Bengaluru City,CAR South-II,CAR
AGID0095,ACP CAR South-III,ACP,,9480801056,,Bengaluru City,CAR South-III,CAR
AGID0096,ACP CAR South-IV,ACP,,9480801053,,Bengaluru City,CAR South-IV,CAR
AGID0097,ACP CAR West-1,ACP,,9480801110,,Bengaluru City,CAR West-1,CAR
AGID0098,ACP CAR West-2,ACP,,9480801111,,Bengaluru City,CAR West-2,CAR
AGID0099,ACP CAR-1,ACP,,9480802208,,Mysuru City,CAR-1,CAR
AGID0100,ACP CAR-2,ACP,,9480805542,,Kalaburagi City,CAR-2,CAR
AGID0101,ACP CAR-2,ACP,,9480802209,2418345,Mysuru City,CAR-2,CAR
AGID0102,ACP CAR-3,ACP,,9480802210,2418346,Mysuru City,CAR-3,CAR
AGID0120,ACP CCB,ACP,,9480802207,2418332,Mysuru City,CCB,CCB
AGID0117,ACP CCB,ACP,,9480802029,2233535,Hubballi–Dharwad City,CCB,CCB
AGID0118,ACP CCB,ACP,,,22943153,Bengaluru City,CCB,CCB
AGID0119,ACP CCB,ACP,cchmge@ksp.gov.in,9480802347,2220818,Mangaluru City,CCB,CCB
AGID0129,ACP CCRB,ACP,acpeerbmgc@ksp.gov.in,9480802311,2220809,Mangaluru City,CCRB,CCRB
AGID0128,ACP CCRB,ACP,cerbkbcksp.gov.in,9480805534,,Kalaburagi City,CCRB,CCRB
AGID0154,ACP CEN PS,ACP,cenpsnorthbcp@ksp.gov.in,9480801065,22942302,Bengaluru City,CEN PS,CEN
AGID0146,ACP CEN PS,ACP,cenhde@ksp.gov.in,,0836-2233567,Hubballi–Dharwad City,CEN PS,CEN
AGID0144,ACP CEN PS,ACP,cenpshge@ksp.gov.in,9480804084,2950320,Belagavi City,CEN PS,CEN
AGID0153,ACP CEN PS,ACP,,,,Bengaluru City,CEN PS,CEN
AGID0148,ACP CEN PS,ACP,,9980802341,0824-2220844,Mangaluru City,CEN PS,CEN
AGID0149,ACP CEN PS,ACP,,9480802251,2418598,Mysuru City,CEN PS,CEN
AGID0145,ACP CEN PS,ACP,acpcenpseastbcp@ksp.gov.in,9480801023,22943089,Bengaluru City,CEN PS,CEN
AGID0147,ACP CEN PS,ACP,cenkbe@ksp.gov.in,9480805532,248221,Kalaburagi City,CEN PS,CEN
AGID0155,ACP CEN PS Banashankari,ACP,cenpssouthbcp@ksp.gov.in,9480801098,22943507,Bengaluru City,CEN PS Banashankari,CEN
AGID0150,ACP CEN PS Whitefield,ACP,cenpswhitefieldbcp@ksp.gov.in,9483342801,22942872,Bengaluru City,CEN PS Whitefield,CEN
AGID0151,ACP CEN PS Yelahanka,ACP,acpcenbcp@ksp.gov.in,9480801050,28562004,Bengaluru City,CEN PS Yelahanka,CEN
AGID0152,ACP CEN South East Division,ACP,cenpssoutheastbcp@ksp.gov.in,9480801057,22942759,Bengaluru City,CEN South East Division,CEN
AGID1356,ACP Chickpet,ACP,acpchickpetbcp@ksp.gov.in,9480801705,22942149,Bengaluru City,ACP Chickpet,L&O
AGID1349,ACP Crime,ACP,acperimebgc@ksp.gov.in,,2471577,Belagavi City,ACP Crime,L&O
AGID1357,ACP Cubbon Park,ACP,acpccparkbcp@ksp.gov.in,9480801107,22942167,Bengaluru City,ACP Cubbon Park,L&O
AGID1358,ACP Devanahalli,ACP,acpdevanahalli@ksp.gov.in,9480801071,27680111,Bengaluru City,ACP Devanahalli,L&O
AGID1359,ACP Devaraja Dvn,ACP,acpdevrajamyceiksp.gov.in,9480802211,,Mysuru City,ACP Devaraja Dvn,L&O
AGID1360,ACP Dharwad,ACP,acpdwdhdewksp.gov.in,9480802014,2233506,Hubballi–Dharwad City,ACP Dharwad,L&O
AGID1361,ACP Electronic City,ACP,acpelectroniccitybcp@ksp.gov.in,9480801063,22943603,Bengaluru City,ACP Electronic City,L&O
AGID0425,ACP FPB,ACP,fpuhde@ksp.gov.in,9480800484,2233539,Hubballi–Dharwad City,ACP FPB,FPB
AGID1362,ACP Halasoor,ACP,acphulsoorbcp@ksp.gov.in,9480801205,22942143,Bengaluru City,ACP Halasoor,L&O
AGID1363,ACP Halasoor Gate,ACP,acphgatebcp@ksp.gov.in,9480801106,22942171,Bengaluru City,ACP Halasoor Gate,L&O
AGID1364,ACP High Court Security,ACP,,,22943282,Bengaluru City,ACP High Court Security,L&O
AGID1365,ACP J.C. Nagar,ACP,acpjcngarbcp@ksp.gov.in,9480801307,22942159,Bengaluru City,ACP J.C. Nagar,L&O
AGID1366,ACP Jayanagar PS,ACP,acpjayanagarbcp@ksp.gov.in,9480801505,22942161,Bengaluru City,JAYANAGAR PS,L&O
AGID1367,ACP K.R. Dvn,ACP,acpkrmyc@ksp.gov.in,9480802213,2418118,Mysuru City,ACP K.R. Dvn,L&O
AGID1368,ACP Kengeri,ACP,acpkengeribcp@ksp.gov.in,9480801708,22942731,Bengaluru City,ACP Kengeri,L&O
AGID1369,ACP Khadebazar Sub-Dvn,ACP,sdpokhadebazargmg@ksp.gov.in,9480804020,2405219,Belagavi City,ACP Khadebazar Sub-Dvn,L&O
AGID1370,ACP Madanayakanahalli,ACP,acpmdhallibcp@ksp.gov.in,9480801043,22942288,Bengaluru City,ACP Madanayakanahalli,L&O
AGID1371,ACP Madiwala,ACP,acpmadivalabcp@ksp.gov.in,9480801606,22942163,Bengaluru City,ACP Madiwala,L&O
AGID1372,ACP Malleshwaram,ACP,acpmvmbcp@ksp.gov.in,9480801305,22942155,Bengaluru City,ACP Malleshwaram,L&O
AGID0156,ACP Mangaluru Central,ACP,sdpocitymgc@ksp.gov.in,9480805320,2220514,Mangaluru City,Mangaluru Central,CEN
AGID1350,ACP Mangaluru South,ACP,sdposouthmgc@ksp.gov.in,9480802310,2460814,Mangaluru City,ACP Mangaluru South,L&O
AGID1373,ACP Marathahalli,ACP,acpmarathahallibcp@ksp.gov.in,9480801607,22943199,Bengaluru City,ACP Marathahalli,L&O
AGID1374,ACP Market Sub-Dvn,ACP,sdpomarketbgm@ksp.gov.in,9480804021,2405221,Belagavi City,ACP Market Sub-Dvn,L&O
AGID1375,ACP Mico Layout,ACP,acpmicolayoutbcp@ksp.gov.in,9480801605,22943466,Bengaluru City,ACP Mico Layout,L&O
AGID1376,ACP Mounted Company,ACP,acpmountedmyc@ksp.gov.in,,2418556,Mysuru City,ACP Mounted Company,L&O
AGID1377,ACP N.R.,ACP,acpnrmyceiksp.gov.in,9480802212,2418511,Mysuru City,ACP N.R.,L&O
AGID1378,ACP North,ACP,sdponorthmgc@ksp.gov.in,9480805322,2220526,Mangaluru City,ACP North,L&O
AGID1379,ACP North Hubballi,ACP,acpnorthhde@ksp.gov.in,9480802012,2233505,Hubballi–Dharwad City,ACP North Hubballi,L&O
AGID1380,ACP North Sub-Div,ACP,acpbkbe@ksp.gov.in,9480805512,263621,Kalaburagi City,ACP North Sub-Div,L&O
AGID1381,ACP OCW (East),ACP,,9480801061,,Bengaluru City,ACP OCW (East),L&O
AGID1351,ACP PRO,ACP,,9480801089,22259590,Bengaluru City,ACP PRO,L&O
AGID1382,ACP Palace-Security,ACP,,9480802215,2418152,Mysuru City,ACP Palace-Security,L&O
AGID1383,ACP Peenya,ACP,acppeenyabcp@ksp.gov.in,9480801042,22942286,Bengaluru City,ACP Peenya,L&O
AGID1384,ACP Pulakeshinagar,ACP,acpftownbcp@ksp.gov.in,9480801206,22942145,Bengaluru City,ACP Pulakeshinagar,L&O
AGID1387,ACP SEW,ACP,,,,Bengaluru City,ACP SEW,L&O
AGID1385,ACP Sampigehalli,ACP,acpsampigehalliksp.gov.in,9480801069,22943690,Bengaluru City,ACP Sampigehalli,L&O
AGID1386,ACP Seshadripuram,ACP,acpsspurambcp@ksp.gov.in,9480801105,22942637,Bengaluru City,ACP Seshadripuram,L&O
AGID1388,ACP South Hubballi,ACP,acpsouthhde@ksp.gov.in,9480802011,2233507,Hubballi–Dharwad City,ACP South Hubballi,L&O
AGID1389,ACP South Sub-Div,ACP,acpakbe@ksp.gov.in,9480805511,263615,Kalaburagi City,ACP South Sub-Div,L&O
AGID1390,ACP Sub-Urban Sub-Div,ACP,acpekbe@ksp.gov.in,9480805513,263627,Kalaburagi City,ACP Sub-Urban Sub-Div,L&O
AGID1391,ACP Subramanyapura,ACP,acpshpurabcp@ksp.gov.in,9480801507,22943473,Bengaluru City,ACP Subramanyapura,L&O
AGID0590,ACP Traffic,ACP,sdpotrafficmge@ksp.gov.in,9480802312,2220823,Mangaluru City,ACP Traffic,Traffic
AGID0588,ACP Traffic,ACP,acptraffichde@ksp.gov.in,9480802013,2233504,Hubballi–Dharwad City,ACP Traffic,Traffic
AGID0589,ACP Traffic,ACP,acptraffickbc@ksp.gov.in,9480805540,248080,Kalaburagi City,ACP Traffic,Traffic
AGID0587,ACP Traffic & Planning,ACP,acp-planningbcp@ksp.gov.in,9480801809,22942113,Bengaluru City,ACP Traffic & Planning,Traffic
AGID0591,ACP Traffic Central,ACP,acpcentraltrafficbc@ksp.gov.in,9480801807,22942096,Bengaluru City,ACP Traffic Central,Traffic
AGID0592,ACP Traffic Dvn.,ACP,acptrafficmyc@ksp.gov.in,9480802214,2418125,Mysuru City,ACP Traffic Dvn.,Traffic
AGID0593,ACP Traffic East,ACP,acpeasttraffic123@gmail.com,9480801806,22942098,Bengaluru City,ACP Traffic East,Traffic
AGID0594,ACP Traffic HSR Layout,ACP,,,22942408,Bengaluru City,ACP Traffic HSR Layout,Traffic
