Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Criminal Investigation Department (CID),State Level,"DGP, CID, Special Units & Economic Offences",DGP,"CID, Special Units & Economic Offences",080-22254789,,22942211,,dgpcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"DGP, CE & N (Cyber Economics and Narcotics)",DGP,CE & N (Cyber Economics and Narcotics),PA:22094405,,22094402,,dgpc&n@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"ADGP, Admin, CID",ADGP,"Admin, CID",080-22255802,,22094419,,adgpcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"ADGP, E.O, CID",ADGP,"E.O, CID",080-22942628,,22256963,,adgpeocid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"IGP Admin CID, Office",IGP Admin CID,Office,PA: 22094432,,080-22094422,,digpcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"DIGP Cyber Crimes & Narcotics, CID",DIGP Cyber Crimes & Narcotics,CID,080-22094678,,22094677-PA,,"digpnc@ksp.gov.in, crcod@ksp.gov.in"
Special Units,Criminal Investigation Department (CID),State Level,"DIGP, E.O, CID",DIGP,"E.O, CID",PA:22094416,,22942292,,digpeocid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"DIGP CYBER COMMAND, Office",DIGP CYBER COMMAND,Office,PA:22094677,,22094678,,
Special Units,Criminal Investigation Department (CID),State Level,"SP, CID, (NOC) (Narcotics Organized Crime Division)",SP,"CID, (NOC) (Narcotics Organized Crime Division)",080-22094424,,PA:22094434,,spnoccid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, Admin, CID",SP,"Admin, CID",080-22942472,,22094540-PA,,spadmincid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, CIU, CID",SP,"CIU, CID",080-22094404,,22094414-PA,,spciucid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, H&B (Homicide & Burglary), Detective, CID",SP,"H&B (Homicide & Burglary), Detective, CID",080-22094401,,9480800181,,sphnbcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, Special Enquiry Division, CID",SP,"Special Enquiry Division, CID",080-22094433-PA,,22094423,,spsccid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, EOD, CID (Economic Offence Division)",SP,"EOD, CID (Economic Offence Division)",080-22094435-PA,,22094425,,speocid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, (Deposit Fraud Investigation Division), CID",SP,"(Deposit Fraud Investigation Division), CID",080-22094421,,PA:22094431,,spdfidcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, Anti-Human Trafficking Unit (AHTU)",SP,Anti-Human Trafficking Unit (AHTU),080-22094443,,22094566,,spahtucid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP, FIU, CID (Financial Intelligence Unit)",SP,"FIU, CID (Financial Intelligence Unit)",080-22943041-PA,,22251845,,spfiucid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP CID CYBER CRIME DIVISION, Office",SP CID CYBER CRIME DIVISION,Office,080-2209 4426,,2209 4436-PA,,spccpscid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"SP CT&R CID (CYBER TRAINING & RESERCH), Office",SP CT&R CID (CYBER TRAINING & RESERCH),Office,—,,9480800136,,spctrcid@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"MTO, Office",MTO,Office,080-22094493,,22094494,,
Special Units,Criminal Investigation Department (CID),State Level,"CID CIVIL C/Room, Office",CID CIVIL C/Room,Office,080-22942444,,22094498,,
Special Units,Criminal Investigation Department (CID),State Level,"WIRELESS CID C/Room, Office",WIRELESS CID C/Room,Office,080-22942434,,22094490-Exchange,,crcod@ksp.gov.in
Special Units,Criminal Investigation Department (CID),State Level,"CYBER CRIME, PS",CYBER CRIME,PS,080-22094480,,22942475,,
Special Units,Criminal Investigation Department (CID),State Level,"DySP, CYBER CRIME",DySP,CYBER CRIME,080-22094638,,22094565,,
Special Units,Criminal Investigation Department (CID),State Level,"CYBER CRIME, ADMIN",CYBER CRIME,ADMIN,080-22094601,,—,,
Special Units,Criminal Investigation Department (CID),State Level,"CID EXCHANGE, Office",CID EXCHANGE,Office,080-22094500,,22260404,,
Special Units,Criminal Investigation Department (CID),State Level,"CRIME SECTION, Office",CRIME SECTION,Office,080-22094481,,22094480,,
Special Units,Criminal Investigation Department (CID),State Level,"NASCOM LAB, Office",NASCOM LAB,Office,080-22374726,,—,,
Special Units,Criminal Investigation Department (CID),State Level,"NARCOTICS CONTROL BUREAU, Office",NARCOTICS CONTROL BUREAU,Office,080-22943601,,22094592,,
Special Units,Criminal Investigation Department (CID),State Level,"EST SECTION, Office",EST SECTION,Office,080-22094455,,—,,
